experiment,target,model,validation,folds,n_val_total,mae_mean,rmse_mean,r2_mean,pearson_mean,spearman_mean,seq_len,feature_set,feature_mode
tabular,focus,hgb_reg,groupkfold_subject,5,,0.0901464610138676,0.1153784775964007,0.1360894560764472,0.4014902934320461,0.3796674705573869,,,
tabular,focus,lgbm_reg,groupkfold_subject,5,,0.0900182285006796,0.1154931576890248,0.1338613918397914,0.3994911235145846,0.3805732239598924,,,
tabular,focus,rf_reg,groupkfold_subject,5,,0.0887293850158883,0.1147481406948434,0.1454532140879564,0.4097903643234606,0.3914668210999438,,,
tabular,focus,ridge_robust,groupkfold_subject,5,,0.0936873476372887,0.1231788950263778,0.00045996791267,0.3453817060735692,0.3566394779620971,,,
context,attention,hgb_reg,groupkfold_subject,5,42932.0,0.0887371584972315,0.113217129403674,0.2028370711051725,0.4718174652636421,0.4554669742746354,5.0,pow_plus_eeg,log_pow
context,attention,lgbm_reg,groupkfold_subject,5,42932.0,0.0888952695674629,0.1133588885725352,0.200637092809448,0.4841489617389348,0.4671608372885256,5.0,pow_plus_eeg,log_pow
context,engagement,hgb_reg,groupkfold_subject,5,47994.0,0.0855283226431275,0.108126381772253,0.3057379131623898,0.5949037046385733,0.5036842338609959,5.0,pow_plus_eeg,log_pow
context,engagement,lgbm_reg,groupkfold_subject,5,47994.0,0.0865410306386375,0.1092321025490517,0.2911622422774432,0.6004226128199195,0.5129293799953856,5.0,pow_plus_eeg,log_pow
context,excitement,lgbm_reg,groupkfold_subject,5,50700.0,0.1118404480344853,0.1505429604314679,0.5793522059460183,0.775389775918524,0.7184416913859561,5.0,pow_plus_eeg,log_pow
context,excitement,hgb_reg,groupkfold_subject,5,50700.0,0.1117909817281781,0.1505709438881041,0.5788624277090453,0.7725467823720729,0.7169399923718226,5.0,pow_plus_eeg,log_pow
context,focus,lgbm_reg,groupkfold_subject,5,45137.0,0.0774703904210007,0.1000408432105869,0.3446953414267282,0.6108946921855358,0.5682108853546323,5.0,pow_plus_eeg,log_pow
context,focus,hgb_reg,groupkfold_subject,5,45137.0,0.0775330718410199,0.1001073868767635,0.343862181475944,0.6056914250366099,0.5627003603560603,5.0,pow_plus_eeg,log_pow
context,interest,hgb_reg,groupkfold_subject,5,45193.0,0.0600807750384708,0.0820682673716648,0.2740499962537746,0.5635705386617176,0.4648925826034519,5.0,pow_plus_eeg,log_pow
context,interest,lgbm_reg,groupkfold_subject,5,45193.0,0.0604757990351059,0.082334417954712,0.2679626534331848,0.5700212284629204,0.464879119950322,5.0,pow_plus_eeg,log_pow
context,relaxation,hgb_reg,groupkfold_subject,5,45147.0,0.0984503725218225,0.1248772782513525,0.4264209702696673,0.672848942597288,0.6424558803134877,5.0,pow_plus_eeg,log_pow
context,relaxation,lgbm_reg,groupkfold_subject,5,45147.0,0.0995716113294936,0.1264440222540266,0.4113493650810322,0.671526031614286,0.6424794601652357,5.0,pow_plus_eeg,log_pow
context,stress,hgb_reg,groupkfold_subject,5,45137.0,0.0795818654608063,0.1102704584901058,0.3473482799715739,0.6123564194079211,0.5017259576192454,5.0,pow_plus_eeg,log_pow
context,stress,lgbm_reg,groupkfold_subject,5,45137.0,0.0805493901093534,0.1110663666260311,0.3369467160361693,0.6105983693773092,0.4980879659131998,5.0,pow_plus_eeg,log_pow
mha_len3,excitement,unknown_model,groupkfold_subject,2,4019.0,0.1122204326093196,0.1519758883173476,0.581466794013977,0.7838267087936401,0.708645814039113,,,
mha_len3,relaxation,unknown_model,groupkfold_subject,2,3974.0,0.1037507951259613,0.1341852766958308,0.3814065456390381,0.6573197841644287,0.6539240240354074,,,
mha_len3,engagement,unknown_model,groupkfold_subject,2,3984.0,0.0854118801653385,0.1086513082083729,0.2736085951328277,0.5388145446777344,0.4800139546017574,,,
mha_len3,attention,unknown_model,groupkfold_subject,2,4013.0,0.0885818339884281,0.1143175652663204,0.2094320654869079,0.492220401763916,0.4907273898882942,,,
mha_len3,stress,unknown_model,groupkfold_subject,2,3986.0,0.0845443122088909,0.1163340670781074,0.1794556677341461,0.4743398129940033,0.3646453310791949,,,
mha_len3,focus,unknown_model,groupkfold_subject,2,3986.0,0.0889948792755603,0.1126605370938433,0.1688259840011596,0.4867721796035766,0.4517219593937142,,,
mha_len3,interest,unknown_model,groupkfold_subject,2,3994.0,0.06967169418931,0.0976205387193293,0.1282311379909515,0.3715107887983322,0.3564160304263391,,,
mha_len5,excitement,unknown_model,groupkfold_subject,2,3964.0,0.1332930698990821,0.1797419201256679,0.4266933500766754,0.7035978734493256,0.6280724070234515,,,
mha_len5,focus,unknown_model,groupkfold_subject,2,3977.0,0.0784440077841281,0.1007856762469905,0.3068277537822723,0.5594163089990616,0.5371583773572461,,,
mha_len5,engagement,unknown_model,groupkfold_subject,2,4007.0,0.0869099870324134,0.11058367520226,0.2559715807437897,0.5255804061889648,0.4322937910281956,,,
mha_len5,relaxation,unknown_model,groupkfold_subject,2,4020.0,0.1066170111298561,0.1374048721457307,0.248519092798233,0.5531227737665176,0.5123823179878267,,,
mha_len5,stress,unknown_model,groupkfold_subject,2,3977.0,0.0853106379508972,0.1206236786795034,0.245455116033554,0.5658227503299713,0.4882707725093806,,,
mha_len5,attention,unknown_model,groupkfold_subject,2,3988.0,0.0931136533617973,0.1191030825492127,0.1926003098487854,0.449954405426979,0.4432825140249393,,,
mha_len5,interest,unknown_model,groupkfold_subject,2,4019.0,0.0617788285017013,0.0842022648013579,0.1231535673141479,0.3959695398807525,0.3398933461252216,,,
