model_family,run_dir,target,mae_mean,rmse_mean,r2_mean,pearson_mean,spearman_mean
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_excitement,0.1338910788297653,0.1771768236679054,0.3715717196464538,0.6395322680473328,0.5956598511821505
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_excitement,0.1465984761714935,0.1914529710599638,0.2667372584342956,0.5195708632469177,0.4932983753727853
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_excitement,0.1249456271529197,0.166256085230679,0.4356363892555236,0.6842820048332214,0.6243398810944276
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_relaxation,0.1129166111350059,0.1418096728541372,0.2603460788726807,0.5627320230007171,0.5224636598287027
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_relaxation,0.1241145119071006,0.189925377620484,-0.4856146931648254,0.3953004568815231,0.4311509048897605
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_relaxation,0.1060125559568405,0.1349875397262551,0.329364538192749,0.6177054166793823,0.5808415447706106
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_engagement,0.0928631141781806,0.1184716722292122,0.1287413954734802,0.4489955067634582,0.368499281362611
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_engagement,0.0950306370854377,0.1395485002262997,-0.2273804187774658,0.3702254951000213,0.3523867054795103
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_engagement,0.0954786032438278,0.1214648950438289,0.0780290246009826,0.5065539479255676,0.4488321279807322
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_interest,0.064476504176855,0.0866081874122176,0.1682577967643737,0.4600608348846435,0.3696153756774744
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_interest,0.0668373070657253,0.1141907249593025,-0.8623053073883057,0.3899812757968902,0.303740797675718
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_interest,0.0613443046808242,0.0844022550125329,0.2141786694526672,0.517786955833435,0.4290934098556361
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_focus,0.0867943212389946,0.1124405657801308,0.167697012424469,0.4787759184837341,0.4460728067406578
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_focus,0.094145818054676,0.1310882705839628,-0.1604689240455627,0.2958725988864898,0.2901490997916207
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_focus,0.0862680613994598,0.1118478547369973,0.1705084323883056,0.5068522810935974,0.4720625406768887
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_stress,0.0904901221394538,0.1289060505509617,0.137148106098175,0.4684221804141998,0.4145472794025029
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_stress,0.0923718199133873,0.138279689839814,-0.0053694486618041,0.3478648215532303,0.3557728691949463
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_stress,0.0886320292949676,0.1278295894696768,0.148657214641571,0.5224596202373505,0.4507523999976399
LSTM,20260605_131912_lstm_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_attention,0.096365587413311,0.1236787139025064,0.0483078718185424,0.3794341146945953,0.3743092501914496
MLP,20260605_130703_mlp_pm_groupkfold_full_pow_plus_eeg,target_attention,0.0946393385529518,0.1235043892555251,0.0479647636413574,0.3278426080942154,0.3351467655964749
TransformerEncoder,20260605_133044_transformer_pm_groupkfold_full_pow_plus_eeg_seq5_center,target_attention,0.0957559466361999,0.1227022375899496,0.0532111048698425,0.4448230326175689,0.435877207492775
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0968125204099041,0.1235631953659161,0.1853583773109122,0.4486779184785803,0.4408902508846303
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0964980568458821,0.123095754546919,0.1915103138515356,0.4604018327523787,0.450926868959483
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0973974045479491,0.1246373410483739,0.1711333130385426,0.4264134524544385,0.4126008395176092
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0981885479702611,0.1233840359102567,0.2198054970567772,0.4793812083507702,0.3741191925793188
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0978963532770802,0.1229890692167646,0.2247924895382423,0.4836664154479612,0.3774628048137556
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0996058100158004,0.1254301104334362,0.193715053744363,0.4497876126268061,0.3437216642018493
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1435199517499054,0.1820148757919468,0.4791838413414485,0.7080264889124248,0.6573303306000228
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.143374159521477,0.1816731668173016,0.4811375333069922,0.7120701468443353,0.6612385072395183
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.15116292680096,0.1863003916762882,0.4543700278513845,0.7055579573717559,0.6430255691716731
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0948824467988363,0.1192921100005962,0.1759030529932905,0.4515004827174439,0.4092301488298013
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0936603448910022,0.1181522355801876,0.1915768314687712,0.4636847017198472,0.4245146421932337
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.091030606063029,0.116902699598744,0.2085856052544448,0.5062418808218291,0.4750000201421556
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0545555592619385,0.0753818076748794,0.2747106423151398,0.5510396722642392,0.3878413929389558
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0547636160024123,0.0753093833691849,0.2761036400670301,0.5531699218756679,0.3863965060156917
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0511838370993943,0.0736934294379151,0.3068364062558936,0.556301599294662,0.3952617420970447
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1169550859569035,0.1486467784595646,0.221360490576045,0.5042441500985063,0.4637322343437567
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1172052320445729,0.1488984938543763,0.2187211935663184,0.5056061269055794,0.4655469491315444
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1121888958685772,0.1444255409326892,0.2649558262171139,0.5252503715860176,0.4840723695759303
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0995320070099297,0.1382409896630439,0.2346012039527181,0.4866392517546065,0.3505431380331892
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1001074412230957,0.1392226597775512,0.2236921831431159,0.476885942414315,0.339393927441245
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0973092621279594,0.1352707853298817,0.267138125604258,0.5229469963366968,0.4165852046545513
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0860579110796794,0.1109172725914144,0.1106454656391477,0.45897278404972,0.4589328914535901
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0869609139817949,0.1115452687976973,0.1005461842168135,0.4713152159783889,0.4716551049328488
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0857561668047742,0.1110254795116403,0.10890937432931,0.4311291607385238,0.4350842329425533
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0820844384346737,0.1054994927702828,0.3056022632143786,0.5618116995602523,0.4765404953341471
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0827817823666647,0.1065479404303107,0.2917319161540171,0.5562917407882938,0.4707456385400716
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0793601730398795,0.1036063794478031,0.3302996153712608,0.577329010308028,0.4912730665126368
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.158227518158998,0.2109919681950407,0.1908691741976901,0.4713772505640182,0.4080039847699273
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1571216284049021,0.2093495232459919,0.2034173323287348,0.4814611189431066,0.4166548143972984
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1525519026685147,0.2017633860729822,0.2601024047520863,0.511526088415029,0.429706253604971
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0875839604562334,0.1139607499878889,0.2249979346908971,0.4996545391123107,0.5007560374469101
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0879253808763997,0.1142804342437364,0.2206437432213225,0.4908143889185974,0.4936982271303521
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0887538475991901,0.1149381826446963,0.2116466555790377,0.4778329216035098,0.4736429665242614
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0578389301170777,0.0789676940980502,0.1171013663867914,0.4047783430522997,0.3517088745415916
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0583184482090881,0.0790531722693359,0.1151889538041386,0.4057246928504318,0.3524228424572435
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0589034204567921,0.0798643020414776,0.0969384890650658,0.367429709803197,0.3085682537033943
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.106136273796746,0.1335323271815543,0.1899716837593635,0.4494060805158031,0.4144326014781018
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1056925846579564,0.1333080925529718,0.1926898853467158,0.4571421899009861,0.4209026535543957
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1073564228802852,0.1341588686372847,0.1823524505857426,0.4307511615733474,0.3792255768172929
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.071765681725424,0.1052326766089606,0.1821000049613045,0.4451478642265939,0.3782896528695185
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0725869771127967,0.1048187881088965,0.188521084442476,0.4470820849629674,0.3698985244498924
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.073576228028872,0.1067602013389336,0.1581829064384906,0.4105717783371157,0.3266536722251774
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1017053153328774,0.1281555958977132,0.1294689255017361,0.4009991648109517,0.4000331028614878
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1010351259341635,0.1275824194666914,0.1372384196530398,0.41439658247847,0.4124047068968122
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0986868503272119,0.1261183849645702,0.1569255440524739,0.4156676063483119,0.41479614127698
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0920019962770773,0.1156234250657877,0.2007315464693908,0.5197878416669743,0.4292697532571911
