fold,target,mae,rmse,r2,pearson,spearman
1,target_attention,0.09752262383699417,0.12719688488689118,0.05339711904525757,0.4430336356163025,0.43480377580933877
1,target_engagement,0.09572555869817734,0.11923036166297742,0.058354079723358154,0.4010277986526489,0.37757058547004274
1,target_excitement,0.13698303699493408,0.1813598431511913,0.3443998694419861,0.6245430111885071,0.5769649112807016
1,target_stress,0.11161766946315765,0.15503948508599344,0.12999707460403442,0.43389490246772766,0.41444036632614667
1,target_relaxation,0.12045007199048996,0.15413370437862886,0.01865309476852417,0.499327152967453,0.48042720202601163
1,target_interest,0.07166188955307007,0.0948495214315099,0.21380436420440674,0.4820941984653473,0.4142289480809556
1,target_focus,0.08251940459012985,0.1062662560985903,0.275875449180603,0.5346847176551819,0.5121746388470426
2,target_attention,0.09145255386829376,0.11645453830809807,-0.0012812614440917969,0.31810012459754944,0.303068531586194
2,target_engagement,0.092090904712677,0.12043483725594957,0.20696240663528442,0.4764879047870636,0.35685129201018684
2,target_excitement,0.1323075145483017,0.18101334701705024,0.40663373470306396,0.6625659465789795,0.6444669726414713
2,target_stress,0.06998056918382645,0.09994799427670872,0.18466585874557495,0.5097718238830566,0.42691735189691193
2,target_relaxation,0.11456935852766037,0.14157214023489542,0.23556482791900635,0.5052242279052734,0.4365256868084157
2,target_interest,0.048293303698301315,0.06832435937262549,0.1945093870162964,0.48257866501808167,0.3563277070730007
2,target_focus,0.08943042904138565,0.11753753202182943,0.16248750686645508,0.4814997613430023,0.46375183923675034
3,target_attention,0.10923789441585541,0.14020474208476127,-0.03537285327911377,0.3500334918498993,0.3632348067877534
3,target_engagement,0.08543161302804947,0.109992866386401,0.06544244289398193,0.47297945618629456,0.34897269423451865
3,target_excitement,0.12966084480285645,0.16658633253063845,0.467920184135437,0.7264487147331238,0.6757929054800182
3,target_stress,0.08557691425085068,0.11834927301762756,0.18454396724700928,0.5263019800186157,0.42810107902732353
3,target_relaxation,0.10845507681369781,0.1350325966926556,0.35727858543395996,0.6237095594406128,0.5819161802903396
3,target_interest,0.07057003676891327,0.09138000470139927,0.10018360614776611,0.46880102157592773,0.36581887683982245
3,target_focus,0.07508417218923569,0.09791187209538335,0.3009166121482849,0.5981889367103577,0.5772239591354518
4,target_attention,0.08673425763845444,0.11167421837244523,0.2498893141746521,0.5067400932312012,0.48543484044156043
4,target_engagement,0.0965554490685463,0.12092024925323049,0.2636406421661377,0.5342845320701599,0.467033972783613
4,target_excitement,0.14202597737312317,0.18947835144726027,0.3637816309928894,0.6371707320213318,0.6100818023418836
4,target_stress,0.09205252677202225,0.1322545716387018,0.04085803031921387,0.4463265538215637,0.40583217670348365
4,target_relaxation,0.10853098332881927,0.13847640189523355,0.38170695304870605,0.6286334991455078,0.6010452131074858
4,target_interest,0.06504347175359726,0.08904879740661222,0.14372128248214722,0.4086836874485016,0.34701117314578434
4,target_focus,0.09627687186002731,0.12456802516187786,0.13680315017700195,0.4630979299545288,0.4342537496266368
5,target_attention,0.09688060730695724,0.12286318586033664,-0.0250929594039917,0.2792632281780243,0.28500429633240165
5,target_engagement,0.09451204538345337,0.1217800465875026,0.049307405948638916,0.36019784212112427,0.29206786231469384
5,target_excitement,0.1284780204296112,0.1674462441933869,0.2751231789588928,0.5469329357147217,0.4709926641666777
5,target_stress,0.09322293102741241,0.13893892873577698,0.14567559957504272,0.4258156418800354,0.39744542305864894
5,target_relaxation,0.11257756501436234,0.13983352106927258,0.3085269331932068,0.5567656755447388,0.5124040169112603
5,target_interest,0.06681381911039352,0.08943825414894116,0.18907034397125244,0.4581466019153595,0.3646901732478089
5,target_focus,0.09066072851419449,0.11591914352297336,-0.03759765625,0.3164082467556,0.24295984685740793
