record_id,subject_id,start_index,target_index,target_time
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,0,2,30.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,1,3,40.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,2,4,50.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,3,5,60.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,4,6,70.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,5,7,80.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,6,8,90.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,7,9,100.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,8,10,110.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,9,11,120.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,10,12,130.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,11,13,140.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,12,14,150.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,13,15,160.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,14,16,170.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,15,17,180.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,16,18,190.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,17,19,200.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,18,20,210.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,19,21,220.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,20,22,230.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,21,23,240.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,22,24,250.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,23,25,260.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,24,26,270.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,25,27,280.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,26,28,290.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,27,29,300.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,28,30,310.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,29,31,320.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,30,32,330.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,31,33,340.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,32,34,350.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,33,35,360.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,34,36,370.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,35,37,380.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,36,38,390.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,37,39,400.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,38,40,410.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,39,41,420.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,40,42,430.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,41,43,440.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,42,44,450.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,43,45,460.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,44,46,470.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,45,47,480.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,46,48,490.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,47,49,500.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,48,50,510.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,49,51,520.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,50,52,530.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,51,53,540.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,52,54,550.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,53,55,560.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,54,56,570.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,55,57,580.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,56,58,590.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,57,59,600.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,58,60,610.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,59,61,620.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,60,62,630.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,61,63,640.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,62,64,650.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,63,65,660.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,64,66,670.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,65,67,680.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,66,68,690.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,67,69,700.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,68,70,710.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,69,71,720.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,70,72,730.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,71,73,740.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,72,74,750.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,73,75,760.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,74,76,770.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,75,77,780.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,76,78,790.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,77,79,800.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,78,80,810.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,79,81,820.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,80,82,830.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,81,83,840.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,82,84,850.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,83,85,860.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,84,86,870.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,85,87,880.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,86,88,890.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,87,89,900.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,88,90,910.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,89,91,920.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,90,92,930.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,91,93,940.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,92,94,950.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,93,95,960.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,94,96,970.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,95,97,980.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,96,98,990.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,97,99,1000.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,98,100,1010.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,99,101,1020.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,100,102,1030.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,101,103,1040.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,102,104,1050.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,103,105,1060.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,104,106,1070.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,105,107,1080.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,106,108,1090.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,107,109,1100.0
