feature,real_mean,synthetic_mean,real_std,synthetic_std,mean_abs_diff,std_abs_diff
POW.AF3.Alpha__mean,48.70452,36.0416,1223.1962,1361.6531,12.662922,138.45691
POW.AF3.Alpha__std,45.61654,47.379547,1015.41614,1098.2072,1.7630081,82.791016
POW.AF3.Alpha__min,2.7019117,-1.708456,114.8937,145.85544,4.410368,30.961739
POW.AF3.Alpha__max,180.14133,189.03716,3965.4836,4372.2827,8.895828,406.79907
POW.AF3.BetaH__mean,9.347941,-0.103719644,227.53548,247.56003,9.451661,20.024551
POW.AF3.BetaH__std,7.4688435,0.46018544,159.34596,164.18796,7.008658,4.8419952
POW.AF3.BetaH__min,0.76485366,-0.24309607,29.180496,37.060963,1.0079497,7.8804665
POW.AF3.BetaH__max,30.482222,-5.7730503,646.94714,679.9298,36.255272,32.982666
POW.AF3.BetaL__mean,21.90232,2.480274,529.08966,639.2174,19.422047,110.12775
POW.AF3.BetaL__std,18.891096,10.217058,404.0431,444.6557,8.674038,40.61261
POW.AF3.BetaL__min,1.4117471,0.93736064,59.69158,69.24205,0.47438645,9.550468
POW.AF3.BetaL__max,75.524635,30.7197,1633.5784,1773.4314,44.804935,139.85303
POW.AF3.Gamma__mean,3.2404125,1.320221,66.983665,74.32381,1.9201915,7.3401413
POW.AF3.Gamma__std,2.8320928,1.7879605,56.336826,46.610096,1.0441322,9.72673
POW.AF3.Gamma__min,0.34418508,0.16780168,6.8235674,12.04286,0.1763834,5.2192926
POW.AF3.Gamma__max,11.967107,5.0414853,245.28616,195.84868,6.9256215,49.437485
POW.AF3.Theta__mean,177.80692,52.057747,4326.3486,4766.5513,125.74917,440.20264
POW.AF3.Theta__std,139.60687,91.52839,2622.1987,2777.2708,48.078484,155.07202
POW.AF3.Theta__min,7.7058277,-13.435331,337.72998,768.49445,21.14116,430.76447
POW.AF3.Theta__max,547.2552,254.57275,10225.635,11481.688,292.68243,1256.0537
POW.AF4.Alpha__mean,48.277092,19.976566,1227.7949,1306.8134,28.300526,79.01843
POW.AF4.Alpha__std,44.52625,24.756311,1016.1621,1052.5919,19.769938,36.42981
POW.AF4.Alpha__min,3.0756772,-5.5358753,124.86962,128.68169,8.611552,3.8120651
POW.AF4.Alpha__max,177.06264,100.250084,3978.575,4222.9834,76.81255,244.40845
POW.AF4.BetaH__mean,9.269564,-0.80249816,226.14452,249.88094,10.072062,23.73642
POW.AF4.BetaH__std,7.018856,0.47398594,154.70235,168.81497,6.54487,14.112625
POW.AF4.BetaH__min,0.9005367,-0.42381606,29.752441,34.11845,1.3243527,4.3660088
POW.AF4.BetaH__max,28.89764,-1.6781474,630.48724,696.45123,30.575788,65.96399
POW.AF4.BetaL__mean,22.08238,-7.0020766,533.0835,617.2211,29.084457,84.137634
POW.AF4.BetaL__std,19.107994,2.1562324,423.3536,444.38208,16.951761,21.028473
POW.AF4.BetaL__min,1.4999838,-0.99737674,57.118755,51.702213,2.4973605,5.416542
POW.AF4.BetaL__max,76.661575,-9.110363,1726.4384,1816.0303,85.77194,89.59192
POW.AF4.Gamma__mean,3.4353824,2.0610669,67.07848,78.7478,1.3743155,11.669319
POW.AF4.Gamma__std,2.7743702,2.6477647,54.00511,51.80952,0.12660551,2.195591
POW.AF4.Gamma__min,0.47967514,0.14370862,8.123133,13.323673,0.33596653,5.2005405
POW.AF4.Gamma__max,11.968825,7.454001,238.12788,215.18895,4.5148244,22.938934
POW.AF4.Theta__mean,174.29301,4.237353,4313.869,4701.0044,170.05566,387.13525
POW.AF4.Theta__std,134.80035,72.429535,2598.0823,2746.887,62.37082,148.80469
POW.AF4.Theta__min,8.069027,-22.055128,338.50037,694.637,30.124155,356.13666
POW.AF4.Theta__max,532.63074,202.17386,10156.477,11527.805,330.45688,1371.3281
POW.F3.Alpha__mean,47.298317,18.762959,1249.2299,1277.8453,28.535358,28.615479
POW.F3.Alpha__std,42.593628,35.665676,1023.3657,1053.5756,6.927952,30.209839
POW.F3.Alpha__min,2.9406724,-5.89101,121.14255,121.54326,8.831682,0.40071106
POW.F3.Alpha__max,168.40063,142.95486,3983.9001,4201.995,25.44577,218.09497
POW.F3.BetaH__mean,9.17789,-1.0949582,231.97112,246.36937,10.272848,14.398254
POW.F3.BetaH__std,7.082502,1.9273058,160.37334,164.91235,5.155196,4.5390167
POW.F3.BetaH__min,0.8007894,-1.0732853,30.290972,32.44511,1.8740747,2.1541386
POW.F3.BetaH__max,29.267553,-1.4538655,650.4182,678.9168,30.721418,28.498596
POW.F3.BetaL__mean,20.869894,-3.2606807,528.7176,614.9518,24.130575,86.23419
POW.F3.BetaL__std,17.022522,11.184983,396.12222,441.17645,5.8375387,45.05423
POW.F3.BetaL__min,1.4993807,-1.8791318,60.655834,48.696785,3.3785124,11.959049
POW.F3.BetaL__max,67.971504,39.561813,1602.0758,1784.9198,28.40969,182.844
POW.F3.Gamma__mean,3.1207821,1.2589912,69.421394,73.5835,1.8617909,4.1621094
POW.F3.Gamma__std,2.6440473,2.0169954,54.855858,46.498886,0.62705183,8.356972
POW.F3.Gamma__min,0.32656,-0.18612242,7.6599936,9.900718,0.51268244,2.240724
POW.F3.Gamma__max,11.368007,5.841118,241.20534,195.3124,5.526889,45.892944
POW.F3.Theta__mean,164.28882,-15.2691965,4358.584,4695.8706,179.55801,337.28662
POW.F3.Theta__std,116.24888,68.06983,2614.0662,2735.986,48.179047,121.91992
POW.F3.Theta__min,8.457649,-19.814917,349.64334,666.9988,28.272566,317.35544
POW.F3.Theta__max,458.14212,152.83311,10222.729,11516.361,305.30902,1293.6328
POW.F4.Alpha__mean,50.65481,12.22491,1226.7968,1304.6023,38.4299,77.80554
POW.F4.Alpha__std,46.84376,37.31424,1020.836,1052.8658,9.529522,32.029846
POW.F4.Alpha__min,3.4751484,-6.9180274,127.07751,131.14406,10.393176,4.066551
POW.F4.Alpha__max,187.07184,134.21736,3990.6667,4146.4956,52.854477,155.82886
POW.F4.BetaH__mean,10.509457,-2.5804045,231.02719,252.51799,13.089861,21.490799
POW.F4.BetaH__std,8.4497,2.2757359,164.2028,164.03505,6.1739645,0.16775513
POW.F4.BetaH__min,1.0906217,-1.3644162,35.791004,41.275436,2.455038,5.484432
POW.F4.BetaH__max,35.061546,1.6324768,665.5417,689.827,33.42907,24.28534
POW.F4.BetaL__mean,23.973442,-5.139844,533.31934,618.6011,29.113285,85.28174
POW.F4.BetaL__std,20.370005,11.572556,407.0249,439.5729,8.797449,32.548004
POW.F4.BetaL__min,1.9890014,-2.4635937,69.34014,61.08496,4.452595,8.25518
POW.F4.BetaL__max,82.070076,35.42759,1647.7029,1790.8567,46.642487,143.15381
POW.F4.Gamma__mean,3.8758118,2.2665424,71.80678,83.7879,1.6092694,11.981125
POW.F4.Gamma__std,3.3273008,2.3567216,58.36979,52.805912,0.97057915,5.563877
POW.F4.Gamma__min,0.5225632,0.16192208,13.3458605,20.316977,0.36064112,6.971116
POW.F4.Gamma__max,14.433001,7.0622134,257.17978,220.43704,7.370787,36.742737
POW.F4.Theta__mean,171.21591,-28.617653,4328.562,4732.269,199.83356,403.70703
POW.F4.Theta__std,126.88339,60.39414,2640.6272,2760.3206,66.48926,119.69336
POW.F4.Theta__min,8.731441,-28.99045,342.88544,715.0647,37.72189,372.17926
POW.F4.Theta__max,504.023,166.89098,10320.926,11477.906,337.13202,1156.9805
POW.F7.Alpha__mean,47.714767,16.407923,1217.3329,1277.2966,31.306845,59.963745
POW.F7.Alpha__std,45.079803,37.101536,1015.1123,1048.3307,7.9782677,33.218384
POW.F7.Alpha__min,3.0811627,-6.877154,122.26572,126.83783,9.958317,4.572113
POW.F7.Alpha__max,180.83904,122.1238,3997.2104,4155.405,58.715233,158.19434
POW.F7.BetaH__mean,8.89368,-3.0713995,224.63087,247.27505,11.965079,22.64418
POW.F7.BetaH__std,6.6820455,1.346371,151.06474,163.76553,5.3356743,12.70079
POW.F7.BetaH__min,0.8703257,-0.9866016,34.04214,30.437683,1.8569273,3.6044579
POW.F7.BetaH__max,27.531975,-4.5140495,617.3639,693.41437,32.046024,76.050476
POW.F7.BetaL__mean,21.438091,1.8977338,526.30255,623.0813,19.540358,96.77875
POW.F7.BetaL__std,17.83382,11.959471,395.64633,440.34198,5.8743496,44.69565
POW.F7.BetaL__min,1.7403426,-1.9647727,70.54156,51.921074,3.7051153,18.620483
POW.F7.BetaL__max,71.63342,28.389584,1606.0154,1745.4125,43.24384,139.3971
