record_id,subject_id,t_center,original_index,pm_anomaly_score,pm_anomaly_score_max,feature_anomaly_score,combined_anomaly_score,anomaly_threshold,is_anomaly,target_attention,target_engagement,target_excitement,target_stress,target_relaxation,target_interest,target_focus
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,110.0,10,1.033251683623279,3.22640184761363,240.96834,35.9604566833677,20.37091060104527,True,0.547869,0.712953,0.585921,0.464495,0.57685,0.48916,0.259272
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,910.0,90,1.3463535494793708,4.0098052390897365,274.659,41.61891589365702,20.37091060104527,True,0.223249,0.459095,0.77345,0.627916,0.51636,0.51119,0.47741
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,940.0,93,0.8673142428268464,3.2521487867908068,149.72133,22.02362457837287,20.37091060104527,True,0.233749,0.547991,0.235323,0.465712,0.2783,0.470587,0.580193
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,2420.0,241,2.060606389361646,4.509598392162597,368.60706,57.07446028227991,20.37091060104527,True,0.210693,0.707471,0.909038,0.839867,0.483429,0.508384,0.703887
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,2610.0,260,0.9981987274154608,2.3083005495996765,256.35028,38.18156020518075,20.37091060104527,True,0.52706,0.828067,0.122612,0.230344,0.076138,0.432911,0.401051
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,2620.0,261,1.6159428884098528,6.950592492897563,149.65128,23.537097799168198,20.37091060104527,True,0.514819,0.696209,0.505137,0.334872,0.185214,0.556878,0.411237
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,180.0,293,0.9593511769443241,2.6512497077720645,190.9681,28.358211517373395,20.37091060104527,True,0.357504,0.810525,0.559182,0.771019,0.4967,0.732399,0.536646
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,190.0,294,1.806618650868715,4.411955107473146,198.77069,31.245776368642552,20.37091060104527,True,0.382954,0.908078,0.84507,0.998462,0.697059,0.835053,0.577877
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,840.0,359,0.9739024594184397,3.8691606325680516,238.09389,35.411250642878585,20.37091060104527,True,0.479871,0.604456,0.315545,0.524419,0.35407,0.593576,0.458804
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,850.0,360,1.3587722999863683,5.7135901754130405,2642.9802,394.60826114644965,20.37091060104527,True,0.478427,0.692467,0.805329,0.756784,0.445069,0.681527,0.531067
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,1010.0,376,1.5850402769589882,7.008505876166343,3545.8118,529.6228700390442,20.37091060104527,True,0.452485,0.857006,0.780495,0.615767,0.253584,0.599246,0.778145
